"1","01","通常","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"2","02","商店街","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"3","03","FC・VSPA","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"4","04","ｽﾄｱ飲食","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"5","05","ｽﾎﾟｯﾄ","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"6","06","ﾜｺﾞﾝ","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"7","07","GP間売買用CD","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"8","08","経費計上用CD","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"9","09","ﾌｧｲﾝﾘﾌｧｲﾝ外商","2010-05-14 19:38:25","system  ","2010-05-14 19:38:25","system  ","a"
"10","10","ｴﾘｱ戦略投資用CD","2010-05-17 20:08:04","system  ","2010-05-17 20:08:04","system  ","a"
"11","11","FC事業","2012-04-17 10:56:09","system  ","2012-04-17 10:56:09","system  ","a"
"12","12","調整用CD","2013-03-29 14:23:30","system  ","2013-03-29 14:23:30","system  ","a"
