"1","00010","ＷＳＰ","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"2","00020","販売代行（固定）","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"3","00021","販売代行（歩合）","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"4","00022","販売代行（固定＋歩合）","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"5","00023","ＷＳＰ＋販売代行","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"6","00030","ITS DEMO ｽﾀｯﾌ","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"7","00031","ﾙﾓﾝﾃﾞｸﾞﾙﾒ ｽﾀｯﾌ","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"8","00032","ﾜｰﾙﾄﾞﾘﾋﾞﾝｸﾞｽﾀｲﾙ ｽﾀｯﾌ","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"9","00090","その他（直営）","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"10","00091","その他（VSPA・FC）","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
"11","00092","その他（店舗外）","2010-05-14 19:38:23","system  ","2010-05-14 19:38:23","system  ","a"
